dataset,year,method,rho,AS
PM,2026,S2,0.1,0.060818
PM,2026,S2,0.2,0.247609
PM,2026,S2,0.3,0.363900
PM,2026,S2,0.4,0.535105
PM,2026,S2,0.5,0.646667
PM,2026,S2,0.6,0.757437
PM,2026,S2,0.7,0.831667
PM,2026,S2,0.8,0.950000
PM,2026,S2,0.9,0.984542
PM,2026,M2,0.1,0.121986
PM,2026,M2,0.2,0.301651
PM,2026,M2,0.3,0.412231
PM,2026,M2,0.4,0.571432
PM,2026,M2,0.5,0.667500
PM,2026,M2,0.6,0.809363
PM,2026,M2,0.7,0.868333
PM,2026,M2,0.8,0.975000
PM,2026,M2,0.9,0.993333
PM,2026,M3,0.1,0.106651
PM,2026,M3,0.2,0.291835
PM,2026,M3,0.3,0.404361
PM,2026,M3,0.4,0.566728
PM,2026,M3,0.5,0.667500
PM,2026,M3,0.6,0.795946
PM,2026,M3,0.7,0.878832
PM,2026,M3,0.8,0.975000
PM,2026,M3,0.9,0.993333
PM,2026,RANDOM,0.1,0.097793
PM,2026,RANDOM,0.2,0.246333
PM,2026,RANDOM,0.3,0.345847
PM,2026,RANDOM,0.4,0.480992
PM,2026,RANDOM,0.5,0.572953
PM,2026,RANDOM,0.6,0.699848
PM,2026,RANDOM,0.7,0.778053
PM,2026,RANDOM,0.8,0.884997
PM,2026,RANDOM,0.9,0.945936
PM,2026,RANDOM_ALL_COMPULSORY,0.1,0.077811
PM,2026,RANDOM_ALL_COMPULSORY,0.2,0.197932
PM,2026,RANDOM_ALL_COMPULSORY,0.3,0.280564
PM,2026,RANDOM_ALL_COMPULSORY,0.4,0.396455
PM,2026,RANDOM_ALL_COMPULSORY,0.5,0.479396
PM,2026,RANDOM_ALL_COMPULSORY,0.6,0.598399
PM,2026,RANDOM_ALL_COMPULSORY,0.7,0.676357
PM,2026,RANDOM_ALL_COMPULSORY,0.8,0.793823
PM,2026,RANDOM_ALL_COMPULSORY,0.9,0.873822
PM,2026,NESTED_TIMING,0.1,0.124228
PM,2026,NESTED_TIMING,0.2,0.306984
PM,2026,NESTED_TIMING,0.3,0.422543
PM,2026,NESTED_TIMING,0.4,0.590947
PM,2026,NESTED_TIMING,0.5,0.667500
PM,2026,NESTED_TIMING,0.6,0.776667
PM,2026,NESTED_TIMING,0.7,0.868333
PM,2026,NESTED_TIMING,0.8,0.966667
PM,2026,NESTED_TIMING,0.9,0.993333
