dataset,year,method,rho,AS
PHY,2016,B1,0.9,1.000000
PHY,2016,S1,0.1,0.190838
PHY,2016,S1,0.2,0.448500
PHY,2016,S1,0.3,0.588000
PHY,2016,S1,0.4,0.640000
PHY,2016,S1,0.5,0.846000
PHY,2016,S1,0.6,0.900000
PHY,2016,S1,0.7,1.000000
PHY,2016,S1,0.8,1.000000
PHY,2016,S1,0.9,1.000000
PHY,2016,S2,0.1,0.240000
PHY,2016,S2,0.2,0.378500
PHY,2016,S2,0.3,0.537065
PHY,2016,S2,0.4,0.728000
PHY,2016,S2,0.5,0.806136
PHY,2016,S2,0.6,0.851814
PHY,2016,S2,0.7,0.917233
PHY,2016,S2,0.8,1.000000
PHY,2016,S2,0.9,1.000000
PHY,2016,M2,0.1,0.203958
PHY,2016,M2,0.2,0.473107
PHY,2016,M2,0.3,0.575742
PHY,2016,M2,0.4,0.742119
PHY,2016,M2,0.5,0.865178
PHY,2016,M2,0.6,0.886500
PHY,2016,M2,0.7,1.000000
PHY,2016,M2,0.8,1.000000
PHY,2016,M2,0.9,1.000000
PHY,2016,M3,0.1,0.230933
PHY,2016,M3,0.2,0.476736
PHY,2016,M3,0.3,0.576470
PHY,2016,M3,0.4,0.691012
PHY,2016,M3,0.5,0.769000
PHY,2016,M3,0.6,0.843392
PHY,2016,M3,0.7,1.000000
PHY,2016,M3,0.8,1.000000
PHY,2016,M3,0.9,1.000000
PHY,2016,RANDOM,0.1,0.138956
PHY,2016,RANDOM,0.2,0.311317
PHY,2016,RANDOM,0.3,0.472132
PHY,2016,RANDOM,0.4,0.603989
PHY,2016,RANDOM,0.5,0.722333
PHY,2016,RANDOM,0.6,0.799461
PHY,2016,RANDOM,0.7,0.894061
PHY,2016,RANDOM,0.8,0.961369
PHY,2016,RANDOM,0.9,0.993637
PHY,2016,RANDOM_ALL_COMPULSORY,0.1,0.079085
PHY,2016,RANDOM_ALL_COMPULSORY,0.2,0.181851
PHY,2016,RANDOM_ALL_COMPULSORY,0.3,0.291895
PHY,2016,RANDOM_ALL_COMPULSORY,0.4,0.395780
PHY,2016,RANDOM_ALL_COMPULSORY,0.5,0.501499
PHY,2016,RANDOM_ALL_COMPULSORY,0.6,0.577050
PHY,2016,RANDOM_ALL_COMPULSORY,0.7,0.687426
PHY,2016,RANDOM_ALL_COMPULSORY,0.8,0.792676
PHY,2016,RANDOM_ALL_COMPULSORY,0.9,0.892784
PHY,2016,NESTED_TIMING,0.1,0.230933
PHY,2016,NESTED_TIMING,0.2,0.476736
PHY,2016,NESTED_TIMING,0.3,0.576470
PHY,2016,NESTED_TIMING,0.4,0.691012
PHY,2016,NESTED_TIMING,0.5,0.769000
PHY,2016,NESTED_TIMING,0.6,0.843392
PHY,2016,NESTED_TIMING,0.7,1.000000
PHY,2016,NESTED_TIMING,0.8,1.000000
PHY,2016,NESTED_TIMING,0.9,1.000000
PHY,2017,B0,0.1,0.196500
PHY,2017,B0,0.2,0.358750
PHY,2017,B0,0.3,0.561750
PHY,2017,B0,0.4,0.649500
PHY,2017,B0,0.5,0.694500
PHY,2017,B0,0.6,0.931750
PHY,2017,B0,0.7,0.962500
PHY,2017,B0,0.8,0.962500
PHY,2017,B0,0.9,1.000000
PHY,2017,B1,0.1,0.187406
PHY,2017,B1,0.2,0.423474
PHY,2017,B1,0.3,0.596748
PHY,2017,B1,0.4,0.742120
PHY,2017,B1,0.5,0.897000
PHY,2017,B1,0.6,0.926073
PHY,2017,B1,0.7,0.954500
PHY,2017,B1,0.8,0.996661
PHY,2017,B1,0.9,1.000000
PHY,2017,S1,0.1,0.187406
PHY,2017,S1,0.2,0.444500
PHY,2017,S1,0.3,0.700750
PHY,2017,S1,0.4,0.857000
PHY,2017,S1,0.5,0.892000
PHY,2017,S1,0.6,0.930500
PHY,2017,S1,0.7,0.954500
PHY,2017,S1,0.8,1.000000
PHY,2017,S1,0.9,1.000000
PHY,2017,S2,0.1,0.044170
PHY,2017,S2,0.2,0.191500
